DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,SORT
2007,Salmonella infections (A01-A02),0,0
2008,Salmonella infections (A01-A02),0,2
2009,Salmonella infections (A01-A02),0,4
2010,Salmonella infections (A01-A02),0,6
2011,Salmonella infections (A01-A02),0,8
2012,Salmonella infections (A01-A02),0,10
2013,Salmonella infections (A01-A02),0,12
2014,Salmonella infections (A01-A02),0,14
2015,Salmonella infections (A01-A02),0,16
2016,Salmonella infections (A01-A02),0,18
2017,Salmonella infections (A01-A02),0,20
2018,Salmonella infections (A01-A02),0,22
2019,Salmonella infections (A01-A02),0,24
2020 **,Salmonella infections (A01-A02),0,26
2007,Shigellosis and amebiasis (A03A06),0,30
2008,Shigellosis and amebiasis (A03A06),0,32
2009,Shigellosis and amebiasis (A03A06),0,34
2010,Shigellosis and amebiasis (A03A06),0,36
2011,Shigellosis and amebiasis (A03A06),0,38
2012,Shigellosis and amebiasis (A03A06),0,40
2013,Shigellosis and amebiasis (A03A06),0,42
2014,Shigellosis and amebiasis (A03A06),0,44
2015,Shigellosis and amebiasis (A03A06),0,46
2016,Shigellosis and amebiasis (A03A06),0,48
2017,Shigellosis and amebiasis (A03A06),0,50
2018,Shigellosis and amebiasis (A03A06),0,52
2019,Shigellosis and amebiasis (A03A06),0,54
2020 **,Shigellosis and amebiasis (A03A06),0,56
2007,Certain other intestinal infections (A04A07-A09),0,60
2008,Certain other intestinal infections (A04A07-A09),0,62
2009,Certain other intestinal infections (A04A07-A09),0,64
2010,Certain other intestinal infections (A04A07-A09),0,66
2011,Certain other intestinal infections (A04A07-A09),0,68
2012,Certain other intestinal infections (A04A07-A09),2,70
2013,Certain other intestinal infections (A04A07-A09),1,72
2014,Certain other intestinal infections (A04A07-A09),1,74
2015,Certain other intestinal infections (A04A07-A09),1,76
2016,Certain other intestinal infections (A04A07-A09),1,78
2017,Certain other intestinal infections (A04A07-A09),1,80
2018,Certain other intestinal infections (A04A07-A09),1,82
2019,Certain other intestinal infections (A04A07-A09),1,84
2020 **,Certain other intestinal infections (A04A07-A09),0,86
2007,Respiratory tuberculosis (A16),0,90
2008,Respiratory tuberculosis (A16),0,92
2009,Respiratory tuberculosis (A16),0,94
2010,Respiratory tuberculosis (A16),0,96
2011,Respiratory tuberculosis (A16),0,98
2012,Respiratory tuberculosis (A16),0,100
2013,Respiratory tuberculosis (A16),0,102
2014,Respiratory tuberculosis (A16),0,104
2015,Respiratory tuberculosis (A16),0,106
2016,Respiratory tuberculosis (A16),0,108
2017,Respiratory tuberculosis (A16),0,110
2018,Respiratory tuberculosis (A16),0,112
2019,Respiratory tuberculosis (A16),1,114
2020 **,Respiratory tuberculosis (A16),0,116
2007,Other tuberculosis (A17-A19),0,120
2008,Other tuberculosis (A17-A19),0,122
2009,Other tuberculosis (A17-A19),0,124
2010,Other tuberculosis (A17-A19),0,126
2011,Other tuberculosis (A17-A19),0,128
2012,Other tuberculosis (A17-A19),0,130
2013,Other tuberculosis (A17-A19),0,132
2014,Other tuberculosis (A17-A19),0,134
2015,Other tuberculosis (A17-A19),0,136
2016,Other tuberculosis (A17-A19),0,138
2017,Other tuberculosis (A17-A19),0,140
2018,Other tuberculosis (A17-A19),1,142
2019,Other tuberculosis (A17-A19),0,144
2020 **,Other tuberculosis (A17-A19),0,146
2007,Whooping cough (A37),0,150
2008,Whooping cough (A37),0,152
2009,Whooping cough (A37),0,154
2010,Whooping cough (A37),0,156
2011,Whooping cough (A37),0,158
2012,Whooping cough (A37),0,160
2013,Whooping cough (A37),0,162
2014,Whooping cough (A37),0,164
2015,Whooping cough (A37),0,166
2016,Whooping cough (A37),0,168
2017,Whooping cough (A37),0,170
2018,Whooping cough (A37),0,172
2019,Whooping cough (A37),0,174
2020 **,Whooping cough (A37),0,176
2007,Scarlet fever and erysipelas (A38A46),0,180
2008,Scarlet fever and erysipelas (A38A46),0,182
2009,Scarlet fever and erysipelas (A38A46),0,184
2010,Scarlet fever and erysipelas (A38A46),0,186
2011,Scarlet fever and erysipelas (A38A46),0,188
2012,Scarlet fever and erysipelas (A38A46),0,190
2013,Scarlet fever and erysipelas (A38A46),0,192
2014,Scarlet fever and erysipelas (A38A46),0,194
2015,Scarlet fever and erysipelas (A38A46),0,196
2016,Scarlet fever and erysipelas (A38A46),0,198
2017,Scarlet fever and erysipelas (A38A46),0,200
2018,Scarlet fever and erysipelas (A38A46),0,202
2019,Scarlet fever and erysipelas (A38A46),0,204
2020 **,Scarlet fever and erysipelas (A38A46),0,206
2007,Meningococcal infection (A39),0,210
2008,Meningococcal infection (A39),0,212
2009,Meningococcal infection (A39),0,214
2010,Meningococcal infection (A39),0,216
2011,Meningococcal infection (A39),0,218
2012,Meningococcal infection (A39),0,220
2013,Meningococcal infection (A39),0,222
2014,Meningococcal infection (A39),0,224
2015,Meningococcal infection (A39),0,226
2016,Meningococcal infection (A39),0,228
2017,Meningococcal infection (A39),0,230
2018,Meningococcal infection (A39),0,232
2019,Meningococcal infection (A39),0,234
2020 **,Meningococcal infection (A39),0,236
2007,Septicemia (A40-A41),0,240
2008,Septicemia (A40-A41),0,242
2009,Septicemia (A40-A41),0,244
2010,Septicemia (A40-A41),0,246
2011,Septicemia (A40-A41),36,248
2012,Septicemia (A40-A41),9,250
2013,Septicemia (A40-A41),11,252
2014,Septicemia (A40-A41),9,254
2015,Septicemia (A40-A41),8,256
2016,Septicemia (A40-A41),9,258
2017,Septicemia (A40-A41),3,260
2018,Septicemia (A40-A41),5,262
2019,Septicemia (A40-A41),5,264
2020 **,Septicemia (A40-A41),6,266
2007,Syphilis ((A50-A53),0,270
2008,Syphilis ((A50-A53),0,272
2009,Syphilis ((A50-A53),0,274
2010,Syphilis ((A50-A53),0,276
2011,Syphilis ((A50-A53),0,278
2012,Syphilis ((A50-A53),0,280
2013,Syphilis ((A50-A53),0,282
2014,Syphilis ((A50-A53),0,284
2015,Syphilis ((A50-A53),0,286
2016,Syphilis ((A50-A53),0,288
2017,Syphilis ((A50-A53),0,290
2018,Syphilis ((A50-A53),0,292
2019,Syphilis ((A50-A53),0,294
2020 **,Syphilis ((A50-A53),0,296
2007,Acute poliomyelitis (A80),0,300
2008,Acute poliomyelitis (A80),0,302
2009,Acute poliomyelitis (A80),0,304
2010,Acute poliomyelitis (A80),0,306
2011,Acute poliomyelitis (A80),0,308
2012,Acute poliomyelitis (A80),0,310
2013,Acute poliomyelitis (A80),0,312
2014,Acute poliomyelitis (A80),0,314
2015,Acute poliomyelitis (A80),0,316
2016,Acute poliomyelitis (A80),0,318
2017,Acute poliomyelitis (A80),0,320
2018,Acute poliomyelitis (A80),0,322
2019,Acute poliomyelitis (A80),0,324
2020 **,Acute poliomyelitis (A80),0,326
2007,Arthropod-borne viral encephalitis (A83-A84A85.2),0,330
2008,Arthropod-borne viral encephalitis (A83-A84A85.2),0,332
2009,Arthropod-borne viral encephalitis (A83-A84A85.2),0,334
2010,Arthropod-borne viral encephalitis (A83-A84A85.2),0,336
2011,Arthropod-borne viral encephalitis (A83-A84A85.2),0,338
2012,Arthropod-borne viral encephalitis (A83-A84A85.2),0,340
2013,Arthropod-borne viral encephalitis (A83-A84A85.2),0,342
2014,Arthropod-borne viral encephalitis (A83-A84A85.2),0,344
2015,Arthropod-borne viral encephalitis (A83-A84A85.2),0,346
2016,Arthropod-borne viral encephalitis (A83-A84A85.2),0,348
2017,Arthropod-borne viral encephalitis (A83-A84A85.2),0,350
2018,Arthropod-borne viral encephalitis (A83-A84A85.2),0,352
2019,Arthropod-borne viral encephalitis (A83-A84A85.2),0,354
2020 **,Arthropod-borne viral encephalitis (A83-A84A85.2),0,356
2007,Viral hepatitis (B15-B19),0,360
2008,Viral hepatitis (B15-B19),0,362
2009,Viral hepatitis (B15-B19),0,364
2010,Viral hepatitis (B15-B19),0,366
2011,Viral hepatitis (B15-B19),4,368
2012,Viral hepatitis (B15-B19),6,370
2013,Viral hepatitis (B15-B19),0,372
2014,Viral hepatitis (B15-B19),2,374
2015,Viral hepatitis (B15-B19),3,376
2016,Viral hepatitis (B15-B19),1,378
2017,Viral hepatitis (B15-B19),0,380
2018,Viral hepatitis (B15-B19),0,382
2019,Viral hepatitis (B15-B19),0,384
2020 **,Viral hepatitis (B15-B19),0,386
2007,Human immunodeficiency virus (HIV) disease (B20-B24),0,390
2008,Human immunodeficiency virus (HIV) disease (B20-B24),0,392
2009,Human immunodeficiency virus (HIV) disease (B20-B24),0,394
2010,Human immunodeficiency virus (HIV) disease (B20-B24),0,396
2011,Human immunodeficiency virus (HIV) disease (B20-B24),3,398
2012,Human immunodeficiency virus (HIV) disease (B20-B24),1,400
2013,Human immunodeficiency virus (HIV) disease (B20-B24),3,402
2014,Human immunodeficiency virus (HIV) disease (B20-B24),0,404
2015,Human immunodeficiency virus (HIV) disease (B20-B24),2,406
2016,Human immunodeficiency virus (HIV) disease (B20-B24),0,408
2017,Human immunodeficiency virus (HIV) disease (B20-B24),3,410
2018,Human immunodeficiency virus (HIV) disease (B20-B24),3,412
2019,Human immunodeficiency virus (HIV) disease (B20-B24),0,414
2020 **,Human immunodeficiency virus (HIV) disease (B20-B24),1,416
2007,Malaria (B50-B54),0,420
2008,Malaria (B50-B54),0,422
2009,Malaria (B50-B54),0,424
2010,Malaria (B50-B54),0,426
2011,Malaria (B50-B54),0,428
2012,Malaria (B50-B54),0,430
2013,Malaria (B50-B54),0,432
2014,Malaria (B50-B54),0,434
2015,Malaria (B50-B54),0,436
2016,Malaria (B50-B54),0,438
2017,Malaria (B50-B54),0,440
2018,Malaria (B50-B54),0,442
2019,Malaria (B50-B54),0,444
2020 **,Malaria (B50-B54),0,446
2007,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,450
2008,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,452
